customerid,lat,long,pre_failure_before,pre_failure_after,route
110555,-23.6322317,-46.6341828,0.050867252025107446,0.026748400872475653,OC04_1_2015-04-02
110489,-23.63618360000001,-46.6387064,0.011804440011565998,0.010851440887786779,OC04_1_2015-04-02
110489,-23.63618360000001,-46.6387064,0.005931316290129662,0.012305641725264715,OC04_1_2015-04-02
110819,-23.6347097,-46.6363345,0.012305641725264715,0.011040518853719927,OC04_1_2015-04-02
110432,-23.6393714,-46.6393096,0.008909255083774714,0.009753113412264702,OC04_1_2015-04-02
110574,-23.6346891,-46.6403943,0.009506910793223078,0.010296743535240127,OC04_1_2015-04-02
110269,-23.6317635,-46.6414208,0.00942732968852722,0.010803351035771902,OC04_1_2015-04-02
110994,-23.6379619,-46.64383370000001,0.013917252244324274,0.011441981025594683,OC04_1_2015-04-02
110914,-23.6456737,-46.6503943,0.014708157522012821,0.01152803651302381,OC04_1_2015-04-02
110695,-23.6493132,-46.6456434,0.011182208656477677,0.01174039336778876,OC04_1_2015-04-02
110511,-23.6667996,-46.6462467,0.014348841319144379,0.015606869496157971,OC04_1_2015-04-02
