,customerid,pred_failure,lat,long
62788,107528,0.22015497942478618,-23.5056802,-46.7111398
62789,107618,0.02126876445071097,-23.5043556,-46.70902570000001
62790,107618,0.012352371111472906,-23.5043556,-46.70902570000001
62791,107662,0.026523500722585636,-23.4933822,-46.71265
62792,107327,0.027067486546933826,-23.4842102,-46.7171807
62793,107512,0.02052553155489642,-23.482206,-46.72261810000001
62794,107381,0.03786484183464089,-23.4809152,-46.7292646
62795,107352,0.06689282006323091,-23.4814156,-46.7229202
62796,107251,0.07354183205646712,-23.4829207,-46.7173317
62797,107251,0.06561621541231843,-23.4829207,-46.7173317
62798,107423,0.022159572460856647,-23.4708907,-46.7235244
62799,105615,0.02242850294772536,-23.454394600000004,-46.7102338
62800,105717,0.017968959452900224,-23.4559158,-46.69906029999999
62801,105548,0.020226384751456102,-23.4582676,-46.6773245
62802,105377,0.011871148388145,-23.4555858,-46.6773245
62803,105809,0.012179447139299188,-23.4514973,-46.6762682
62804,105402,0.020758529566803144,-23.4503532,-46.6826821
62805,105511,0.011850964818193437,-23.45175,-46.6798146
62806,105318,0.012882530952282738,-23.4543348,-46.6799655
62807,105594,0.015314440936723933,-23.460305,-46.6806447
62808,105294,0.014140355427998429,-23.4651351,-46.67823
62809,105959,0.013990150630974406,-23.4667527,-46.6736274
62810,105653,0.005321897275792005,-23.472452,-46.6728729
62811,105390,0.011903280434017222,-23.4768049,-46.6781545
62812,100052,0.07158023038710505,-23.500162300000003,-46.5900992
62813,100133,0.04434480082062848,-23.5033439,-46.5904758
62814,100189,0.06150439295896846,-23.5035892,-46.5724767
62815,100410,0.023313895569633307,-23.5099082,-46.567733200000006
62816,100410,0.017907960816747632,-23.5099082,-46.567733200000006
62817,100275,0.015157143941249595,-23.5099082,-46.567733200000006
62818,100442,0.02666915505548907,-23.521523,-46.568185
62819,100581,0.029029008712729672,-23.5215691,-46.5708955
62820,100405,0.04926444234378168,-23.5182979,-46.5769194
62821,100373,0.01656387989258756,-23.5220619,-46.5824168
62822,100066,0.029177229033558332,-23.5143264,-46.5826428
62823,100021,0.020585145398320844,-23.5113967,-46.59137970000001
62748,101141,0.11563281616072021,-23.6236902,-46.4923505
62749,100683,0.03351919523497254,-23.6234835,-46.49453070000001
62750,100823,0.020813329297462723,-23.6143143,-46.5051319
62751,100720,0.012461179393528208,-23.6175423,-46.5107718
62752,100720,0.010372329937164505,-23.6175423,-46.5107718
62753,100720,0.009699600612182679,-23.6175423,-46.5107718
62754,100720,0.00994721027410864,-23.6175423,-46.5107718
62755,100723,0.039819011792510975,-23.6172219,-46.5122007
62756,101144,0.02547681761512091,-23.6078706,-46.52122620000001
62757,100808,0.017094984619654422,-23.6043637,-46.51348170000001
62758,101004,0.01668312701037246,-23.6086383,-46.5091174
62759,102427,0.03273889856163053,-23.5479954,-46.4997934
62760,102620,0.03839644724696044,-23.5507701,-46.4887423
62761,101741,0.04051118834579321,-23.545213500000006,-46.4556787
62762,101437,0.01957284715890363,-23.5371715,-46.4547773
62763,101624,0.017431880257782723,-23.5461933,-46.4550777
62764,102235,0.07405978435491256,-23.5395165,-46.4529745
62765,102098,0.02036847895658785,-23.536907100000004,-46.4565801
62766,101452,0.01955102718341288,-23.5377717,-46.4496695
62767,102376,0.011926373838849189,-23.5357793,-46.4490686
62768,102068,0.021434640646557646,-23.5198609,-46.4453884
62769,101737,0.01299437320608406,-23.5157447,-46.4478669
62770,102167,0.02912725909766546,-23.5176274,-46.4643933
62771,101630,0.02103823594440108,-23.5314227,-46.4655954
62772,101654,0.02057069173887498,-23.5362281,-46.4683004
62773,101660,0.021358720330603116,-23.528973800000006,-46.4557977
62774,101907,0.017090995769376973,-23.5250402,-46.4523735
62775,102022,0.016621776842168947,-23.5288786,-46.4482424
62776,102022,0.01469361856394559,-23.5288786,-46.4482424
62777,101887,0.02833792790734155,-23.5292412,-46.4328477
62778,102234,0.01851084426404409,-23.530721600000003,-46.4379537
62779,102365,0.02540467890542451,-23.5367466,-46.4396809
62780,101514,0.019053962386201162,-23.5424114,-46.44336060000001
62781,101384,0.01672545106711272,-23.5932694,-46.4400563
62782,101244,0.01591253113921002,-23.5980261,-46.4349501
62783,101413,0.049123355509974806,-23.6140917,-46.4154311
62784,101340,0.028498687732481973,-23.5965708,-46.4469656
62785,101210,0.019671786851468868,-23.6056951,-46.452674
62786,101363,0.014231405071624341,-23.6084235,-46.4502704
62787,101143,0.018709553764509352,-23.6117583,-46.4956583
62919,108437,0.09383254651400412,-23.5038716,-46.5335636
62920,107904,0.048193704191567426,-23.5031216,-46.5245359
62921,107947,0.018108534809270545,-23.5022369,-46.5249873
62922,107946,0.020254123257649873,-23.5073594,-46.5230315
62923,108095,0.014818778715376266,-23.5062456,-46.51596110000001
62924,107863,0.013309454980444738,-23.5059664,-46.51129829999999
62925,107928,0.013971931876153752,-23.5077823,-46.5131032
62926,107902,0.009684324950220388,-23.5065352,-46.5155099
62927,108396,0.029378871849531755,-23.4921758,-46.5049816
62928,102859,0.06045135256480181,-23.528581,-46.4839316
62929,102480,0.022156937777695337,-23.528581,-46.4839316
62930,102853,0.03102599690571792,-23.5289667,-46.4833303
62931,102539,0.043829748574737426,-23.5350414,-46.4794221
62932,102494,0.011427590920740725,-23.5155629,-46.476416
62933,102494,0.010469985400314576,-23.5155629,-46.476416
62934,108237,0.02499345170087565,-23.512296300000006,-46.5218279
62935,108125,0.0244101966999591,-23.5173948,-46.5356703
62936,104335,0.019366250068604044,-23.544706,-46.5663781
62937,104344,0.02080692327899472,-23.5483243,-46.5690885
62938,105226,0.03385211897191539,-23.5495198,-46.57511220000001
62939,104459,0.024022321701771873,-23.5518697,-46.573305
62940,104570,0.0076973549191911034,-23.5472226,-46.5684861
62941,104869,0.018665308000127254,-23.5431292,-46.5669804
62942,104545,0.02072280798317341,-23.5411775,-46.5688626
